code,name
 IBO-1, International Business Environment
 IBO-2, International Marketing Management
 IBO-3, India's Foreign Trade
 IBO-4, Export Import Procedures and Documentation
 IBO-5, International Marketing Logistics
 IBO-6, International Business Finance
 MCO-1, Organisation Theory and Behaviour
 MCO-03, Research Methodology and Statistical Analysis
 MCO-04, Business Environment
 MCO-05, Accounting for Managerial Decisions
 MCO-06, Marketing Management
 MCO-07, Financial Management
